Frekvens	Kanal A	Kanal B
(ms)	(V)	(V)

6.48719984	2.59842500	2.59842500
6.49943984	2.59842500	2.59842500
6.51167984	2.59842500	2.59842500
6.52391984	2.51968500	2.59842500
6.53615984	2.51968500	2.59842500
6.54839984	2.51968500	2.59842500
6.56063984	2.51968500	2.59842500
6.57287984	2.51968500	2.59842500
6.58511984	2.51968500	2.59842500
6.59735984	2.44094500	2.59842500
6.60959984	2.44094500	2.59842500
6.62183984	2.44094500	2.59842500
6.63407984	2.44094500	2.59842500
6.64631984	2.44094500	2.59842500
6.65855984	2.44094500	2.59842500
6.67079984	2.36220500	2.59842500
6.68303984	2.36220500	2.59842500
6.69527984	2.36220500	2.59842500
6.70751984	2.28346500	2.59842500
6.71975984	2.28346500	2.59842500
6.73199984	2.28346500	2.59842500
6.74423984	2.28346500	2.59842500
6.75647984	2.20472400	2.59842500
6.76871984	2.20472400	2.59842500
6.78095984	2.20472400	2.59842500
6.79319984	2.20472400	2.59842500
6.80543984	2.20472400	2.59842500
6.81767984	2.20472400	2.59842500
6.82991984	2.12598400	2.59842500
6.84215984	2.12598400	2.59842500
6.85439983	2.12598400	2.59842500
6.86663983	2.04724400	2.51968500
6.87887983	2.04724400	2.59842500
6.89111983	2.04724400	2.59842500
6.90335983	2.04724400	2.59842500
6.91559983	1.96850400	2.59842500
6.92783983	1.96850400	2.51968500
6.94007983	1.96850400	2.51968500
6.95231983	1.96850400	2.51968500
6.96455983	1.96850400	2.51968500
6.97679983	1.96850400	2.51968500
6.98903983	1.88976400	2.51968500
7.00127983	1.88976400	2.51968500
7.01351983	1.88976400	2.51968500
7.02575983	1.88976400	2.51968500
7.03799983	1.81102400	2.51968500
7.05023983	1.81102400	2.51968500
7.06247983	1.81102400	2.51968500
7.07471983	1.81102400	2.51968500
7.08695983	1.73228300	2.51968500
7.09919983	1.73228300	2.51968500
7.11143983	1.73228300	2.51968500
7.12367983	1.73228300	2.51968500
7.13591983	1.73228300	2.51968500
7.14815983	1.65354300	2.51968500
7.16039983	1.65354300	2.51968500
7.17263983	1.65354300	2.51968500
7.18487983	1.65354300	2.51968500
7.19711983	1.65354300	2.51968500
7.20935983	1.57480300	2.51968500
7.22159983	1.57480300	2.51968500
7.23383983	1.57480300	2.51968500
7.24607983	1.57480300	2.51968500
7.25831983	1.49606300	2.51968500
7.27055982	1.49606300	2.51968500
7.28279982	1.49606300	2.51968500
7.29503982	1.49606300	2.51968500
7.30727982	1.49606300	2.51968500
7.31951982	1.49606300	2.51968500
7.33175982	1.41732300	2.51968500
7.34399982	1.41732300	2.51968500
7.35623982	1.41732300	2.44094500
7.36847982	1.41732300	2.51968500
7.38071982	1.33858300	2.51968500
7.39295982	1.33858300	2.51968500
7.40519982	1.33858300	2.44094500
7.41743982	1.33858300	2.51968500
7.42967982	1.33858300	2.44094500
7.44191982	1.25984300	2.51968500
7.45415982	1.25984300	2.44094500
7.46639982	1.25984300	2.51968500
7.47863982	1.25984300	2.44094500
7.49087982	1.25984300	2.51968500
7.50311982	1.25984300	2.44094500
7.51535982	1.18110200	2.51968500
7.52759982	1.18110200	2.44094500
7.53983982	1.18110200	2.51968500
7.55207982	1.18110200	2.44094500
7.56431982	1.18110200	2.44094500
7.57655982	1.10236200	2.44094500
7.58879982	1.10236200	2.44094500
7.60103982	1.10236200	2.44094500
7.61327982	1.10236200	2.51968500
7.62551982	1.02362200	2.44094500
7.63775982	1.10236200	2.44094500
7.64999982	1.02362200	2.44094500
7.66223982	1.02362200	2.44094500
7.67447982	1.02362200	2.44094500
7.68671981	1.02362200	2.44094500
7.69895981	1.02362200	2.44094500
7.71119981	0.94488190	2.44094500
7.72343981	0.94488190	2.44094500
7.73567981	0.94488190	2.44094500
7.74791981	0.94488190	2.44094500
7.76015981	0.94488190	2.44094500
7.77239981	0.94488190	2.44094500
7.78463981	0.86614170	2.44094500
7.79687981	0.86614170	2.44094500
7.80911981	0.86614170	2.44094500
7.82135981	0.86614170	2.44094500
7.83359981	0.86614170	2.44094500
7.84583981	0.78740160	2.36220500
7.85807981	0.78740160	2.44094500
7.87031981	0.78740160	2.44094500
7.88255981	0.78740160	2.44094500
7.89479981	0.78740160	2.44094500
7.90703981	0.78740160	2.44094500
7.91927981	0.78740160	2.44094500
7.93151981	0.70866140	2.44094500
7.94375981	0.70866140	2.44094500
7.95599981	0.70866140	2.44094500
7.96823981	0.70866140	2.36220500
7.98047981	0.70866140	2.44094500
7.99271981	0.70866140	2.44094500
8.00495981	0.70866140	2.44094500
8.01719981	0.70866140	2.36220500
8.02943981	0.70866140	2.44094500
8.04167981	0.62992130	2.36220500
8.05391981	0.62992130	2.44094500
8.06615981	0.62992130	2.36220500
8.07839981	0.62992130	2.44094500
8.09063981	0.62992130	2.36220500
8.10287980	0.62992130	2.44094500
8.11511980	0.62992130	2.36220500
8.12735980	0.55118110	2.36220500
8.13959980	0.55118110	2.36220500
8.15183980	0.55118110	2.36220500
8.16407980	0.55118110	2.36220500
8.17631980	0.55118110	2.36220500
8.18855980	0.55118110	2.36220500
8.20079980	0.55118110	2.36220500
8.21303980	0.55118110	2.36220500
8.22527980	0.55118110	2.36220500
8.23751980	0.47244100	2.36220500
8.24975980	0.47244100	2.36220500
8.26199980	0.47244100	2.36220500
8.27423980	0.47244100	2.36220500
8.28647980	0.47244100	2.36220500
8.29871980	0.47244100	2.36220500
8.31095980	0.47244100	2.36220500
8.32319980	0.47244100	2.36220500
8.33543980	0.47244100	2.36220500
8.34767980	0.47244100	2.36220500
8.35991980	0.39370080	2.36220500
8.37215980	0.39370080	2.36220500
8.38439980	0.39370080	2.36220500
8.39663980	0.39370080	2.36220500
8.40887980	0.39370080	2.36220500
8.42111980	0.39370080	2.36220500
8.43335980	0.39370080	2.36220500
8.44559980	0.39370080	2.36220500
8.45783980	0.31496060	2.36220500
8.47007980	0.39370080	2.36220500
8.48231980	0.31496060	2.36220500
8.49455980	0.31496060	2.36220500
8.50679980	0.31496060	2.28346500
8.51903979	0.31496060	2.36220500
8.53127979	0.31496060	2.28346500
8.54351979	0.31496060	2.36220500
8.55575979	0.31496060	2.36220500
8.56799979	0.31496060	2.36220500
8.58023979	0.31496060	2.36220500
8.59247979	0.31496060	2.36220500
8.60471979	0.31496060	2.28346500
8.61695979	0.31496060	2.28346500
8.62919979	0.31496060	2.28346500
8.64143979	0.31496060	2.28346500
8.65367979	0.31496060	2.28346500
8.66591979	0.23622050	2.28346500
8.67815979	0.23622050	2.28346500
8.69039979	0.23622050	2.28346500
8.70263979	0.23622050	2.28346500
8.71487979	0.23622050	2.28346500
8.72711979	0.23622050	2.28346500
8.73935979	0.23622050	2.28346500
8.75159979	0.23622050	2.28346500
8.76383979	0.23622050	2.28346500
8.77607979	0.23622050	2.28346500
8.78831979	0.23622050	2.28346500
8.80055979	0.23622050	2.28346500
8.81279979	0.23622050	2.28346500
8.82503979	0.23622050	2.28346500
8.83727979	0.23622050	2.28346500
8.84951979	0.23622050	2.28346500
8.86175979	0.23622050	2.28346500
8.87399979	0.23622050	2.28346500
8.88623979	0.23622050	2.28346500
8.89847979	0.15748030	2.28346500
8.91071979	0.15748030	2.28346500
8.92295979	0.15748030	2.28346500
8.93519978	0.15748030	2.28346500
8.94743978	0.15748030	2.28346500
8.95967978	0.15748030	2.28346500
8.97191978	0.15748030	2.28346500
8.98415978	0.15748030	2.28346500
8.99639978	0.15748030	2.28346500
9.00863978	0.15748030	2.28346500
9.02087978	0.15748030	2.28346500
9.03311978	0.15748030	2.28346500
9.04535978	0.15748030	2.28346500
9.05759978	0.15748030	2.28346500
9.06983978	0.15748030	2.20472400
9.08207978	0.15748030	2.28346500
9.09431978	0.15748030	2.28346500
9.10655978	0.15748030	2.28346500
9.11879978	0.15748030	2.20472400
9.13103978	0.15748030	2.28346500
9.14327978	0.15748030	2.20472400
9.15551978	0.15748030	2.28346500
9.16775978	0.15748030	2.20472400
9.17999978	0.15748030	2.20472400
9.19223978	0.15748030	2.20472400
9.20447978	0.15748030	2.20472400
9.21671978	0.15748030	2.20472400
9.22895978	0.07874016	2.28346500
9.24119978	0.15748030	2.20472400
9.25343978	0.07874016	2.20472400
9.26567978	0.07874016	2.20472400
9.27791978	0.15748030	2.20472400
9.29015978	0.07874016	2.20472400
9.30239978	0.07874016	2.20472400
9.31463978	0.07874016	2.20472400
9.32687978	0.07874016	2.20472400
9.33911978	0.07874016	2.20472400
9.35135977	0.15748030	2.20472400
9.36359977	0.07874016	2.20472400
9.37583977	0.07874016	2.20472400
9.38807977	0.07874016	2.20472400
9.40031977	0.07874016	2.20472400
